Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226827913,2020.09.28 02:27:42,sell,0.02,eurusd-e,1.1635,1.16757,1.1515,2020.09.28 16:33:17,1.16764,0,0,0,-10.35
226838375,2020.09.28 15:57:23,buy,0.01,eurusd-e,1.16677,1.16287,1.1672,2020.09.28 16:31:56,1.1672,0,0,0,0.43
226839132,2020.09.28 16:34:02,buy,0.01,eurusd-e,1.16746,1.1672,1.17301,2020.09.28 16:39:54,1.16733,0,0,0,-0.13
226843940,2020.09.28 21:56:55,buy,0.1,eurusd-e,1.16668,1.16411,1.17161,2020.09.29 16:31:31,1.17161,0,0,0,49.3
226883052,2020.09.29 20:23:55,buy,1,eurusd-e,1.17356,1.16356,1.17738,2020.10.01 06:16:56,1.1747,0,0,0,114
226953090,2020.10.01 03:36:10,buy,0.1,gbpusd-e,1.29176,1.28176,1.30676,2020.10.01 03:45:44,1.29145,0,0,0,-3.1
226953115,2020.10.01 03:38:51,buy,0.1,gbpusd-e,1.29178,1.28178,1.30678,2020.10.01 03:39:59,1.29144,0,0,0,-3.4
226953136,2020.10.01 03:41:05,sell,0.1,gbpusd-e,1.29164,1.29248,1.27651,2020.10.01 03:45:37,1.29166,0,0,0,-0.2
226953265,2020.10.01 03:54:50,buy,0.01,audusd-e,0.71623,0.71113,0.71824,2020.10.01 08:44:14,0.71826,0,0,0,2.03
226954989,2020.10.01 06:17:36,buy,1,eurusd-e,1.1747,1.1697,1.1797,2020.10.01 06:18:05,1.17461,0,0,0,-9
226955037,2020.10.01 06:23:36,buy,0.01,hkdjpy-e,13.61156,13.60656,13.61656,2020.10.01 06:24:04,13.60932,0,0,0,-0.02
226955040,2020.10.01 06:24:24,sell,0.01,hkdjpy-e,13.60905,13.61405,13.60405,2020.10.01 07:53:12,13.60399,0,0,0,0.05
226992658,2020.10.02 04:09:01,sell,0.1,gbpusd-e,1.28796,1.29796,1.27296,2020.10.05 16:03:42,1.29799,0,0,0,-100.3
227031247,2020.10.05 00:22:20,sell,0.1,eurusd-e,1.17115,1.17615,1.16865,2020.10.05 00:22:39,1.17173,0,0,0,-5.8
227031255,2020.10.05 00:23:56,buy,0.1,eurusd-e,1.17173,1.16673,1.17423,2020.10.05 11:16:20,1.17423,0,0,0,25
227031256,2020.10.05 00:24:27,sell,0.1,eurusd-e,1.17115,1.17615,1.16865,2020.10.05 14:42:44,1.17615,0,0,0,-50
